date,infected,recovered,deceased,comment
2020-03-01,1,NA,NA,
2020-03-02,2,NA,NA,
2020-03-03,3,NA,NA,
2020-03-04,6,NA,NA,
2020-03-05,6,NA,NA,
2020-03-06,7,1,NA,https://t.me/COVID2019_official/21
2020-03-07,10,NA,NA,
2020-03-08,14,NA,NA,
2020-03-09,17,NA,NA,
2020-03-10,20,NA,NA,
2020-03-11,20,NA,NA,
2020-03-12,28,NA,NA,
2020-03-13,34,NA,NA,
2020-03-14,45,NA,NA,
2020-03-15,59,NA,NA,
2020-03-16,63,NA,NA,
2020-03-17,93,NA,NA,
2020-03-18,114,NA,NA,
2020-03-19,147,NA,NA,
2020-03-20,199,NA,NA,
2020-03-21,253,8,NA,https://t.me/COVID2019_official/80
2020-03-22,306,NA,NA,
2020-03-23,367,9,NA,https://t.me/COVID2019_official/86
2020-03-24,438,NA,NA,
2020-03-25,658,29,NA,https://t.me/COVID2019_official/100
2020-03-26,840,38,2,https://t.me/COVID2019_official/107
2020-03-27,1036,45,3,https://t.me/COVID2019_official/113
2020-03-28,1264,49,4,https://t.me/COVID2019_official/121
2020-03-29,1534,64,8,https://t.me/COVID2019_official/128
2020-03-30,1836,66,9,https://t.me/COVID2019_official/138
2020-03-31,2337,121,17,https://t.me/COVID2019_official/153
2020-04-01,2777,190,24,https://t.me/COVID2019_official/160
2020-04-02,3548,235,30,https://t.me/COVID2019_official/168
2020-04-03,4149,281,34,https://t.me/COVID2019_official/179
2020-04-04,4731,333,43,https://t.me/COVID2019_official/189
2020-04-05,5389,355,45,https://t.me/COVID2019_official/203
2020-04-06,6343,406,47,https://t.me/COVID2019_official/205
2020-04-07,7497,494,58,https://t.me/COVID2019_official/212
2020-04-08,8672,580,63,https://t.me/COVID2019_official/220
2020-04-09,10131,698,76,https://t.me/COVID2019_official/227
2020-04-10,11917,795,94,https://t.me/COVID2019_official/239
2020-04-11,13584,1045,106,https://t.me/COVID2019_official/252
2020-04-12,15770,1291,130,https://t.me/COVID2019_official/266
2020-04-13,18328,1470,148,https://t.me/COVID2019_official/276
2020-04-14,21102,1694,170,https://t.me/COVID2019_official/283
2020-04-15,24490,1986,198,https://t.me/COVID2019_official/299
2020-04-16,27938,2304,232,https://t.me/COVID2019_official/313
2020-04-17,32008,2590,273,https://t.me/COVID2019_official/324
2020-04-18,36793,3057,313,https://t.me/COVID2019_official/335
2020-04-19,42853,3291,361,https://t.me/COVID2019_official/346
2020-04-20,47121,3446,405,https://t.me/COVID2019_official/351
2020-04-21,52763,3873,456,https://t.me/COVID2019_official/364
2020-04-22,57999,4420,513,https://t.me/COVID2019_official/374
2020-04-23,62773,4891,555,https://t.me/COVID2019_official/385
2020-04-24,68622,5568,615,https://t.me/COVID2019_official/397
2020-04-25,74588,6250,681,https://t.me/COVID2019_official/406
2020-04-26,80949,6767,747,https://t.me/COVID2019_official/412
2020-04-27,87147,7346,794,https://t.me/COVID2019_official/418
2020-04-28,93558,8456,867,https://t.me/COVID2019_official/426
2020-04-29,99399,10286,972,https://t.me/COVID2019_official/439
2020-04-30,106498,11619,1073,https://t.me/COVID2019_official/448
2020-05-01,114431,13220,1169,https://t.me/COVID2019_official/459
2020-05-02,124054,15013,1222,https://t.me/COVID2019_official/468
2020-05-03,134687,16639,1280,https://t.me/COVID2019_official/474
2020-05-04,145268,18095,1356,https://t.me/COVID2019_official/481
2020-05-05,155370,19865,1451,https://t.me/COVID2019_official/487
2020-05-06,165929,21327,1537,https://t.me/COVID2019_official/495
2020-05-07,177160,23803,1625,https://t.me/COVID2019_official/501
2020-05-08,187859,26608,1723,https://t.me/COVID2019_official/510
2020-05-09,198676,31916,1827,https://t.me/COVID2019_official/520
2020-05-10,209688,34306,1915,https://t.me/COVID2019_official/527
2020-05-11,221344,39801,2009,https://t.me/COVID2019_official/534
2020-05-12,NA,NA,NA,FORECAST
2020-05-13,NA,NA,NA,FORECAST
2020-05-14,NA,NA,NA,FORECAST
2020-05-15,NA,NA,NA,FORECAST
2020-05-16,NA,NA,NA,FORECAST
2020-05-17,NA,NA,NA,FORECAST
2020-05-18,NA,NA,NA,FORECAST
